"","female","edu","age","participation","sexism"
"1765",1,3,79,1,NA
"1766",1,1,29,1,0.125
"1767",1,3,80,0,0.5625
"1768",0,6,81,2,0.4375
"1769",0,1,59,3,0.5
"1770",0,6,88,2,0.5625
"1771",1,5,25,1,0.1875
"1772",0,4,67,1,0.625
"1773",1,6,70,2,0.25
"1774",1,3,20,2,0
"1775",1,3,26,2,0.25
"1776",0,2,43,0,0.6875
"1777",0,4,32,0,0.5
"1778",1,1,65,1,0.625
"1779",1,3,19,NA,NA
"1780",1,2,74,NA,NA
"1781",1,4,40,1,0.75
"1782",1,3,63,0,0.5625
"1783",1,5,61,NA,NA
"1784",1,4,35,4,0.5
"1785",NA,1,NA,2,0.4375
"1786",0,3,47,2,0.3125
"1787",0,6,51,1,0.4375
"1788",1,6,46,1,0
"1789",0,3,19,1,0.5
"1790",0,4,58,2,0.4375
"1791",0,5,29,3,0
"1792",0,4,31,1,0.375
"1793",0,1,18,NA,0.1875
"1794",1,3,22,1,0.375
"1795",0,3,52,1,0
"1796",0,2,22,2,0.0625
"1797",1,6,58,5,0.1875
"1798",0,1,26,5,0.625
"1799",1,6,35,1,0.0625
"1800",0,6,44,1,0.5625
"1801",0,5,63,3,0.8125
"1802",0,5,46,1,0.1875
"1803",1,3,26,1,0.3125
"1804",0,5,24,1,0.1875
"1805",0,NA,33,1,0.25
"1806",0,4,60,NA,0.5
"1807",0,3,27,NA,0.1875
"1808",1,6,21,1,0.4375
"1809",0,2,33,2,0.125
"1810",1,4,47,7,0.1875
"1811",0,6,73,3,0.3125
"1812",0,6,28,1,0.5
"1813",0,5,43,NA,0.6875
"1814",0,6,29,1,0.5
"1815",1,5,72,3,0.25
"1816",0,3,62,NA,0.625
"1817",0,3,79,NA,0.5
"1818",0,3,40,NA,0.625
"1819",0,6,58,1,0.5625
"1820",1,5,59,1,0.5625
"1821",1,3,56,0,0.3125
"1822",1,2,24,0,0.5625
"1823",1,6,69,1,0.0625
"1824",1,6,39,2,0.125
"1825",1,3,72,2,0.25
"1826",1,1,35,0,0.375
"1827",1,4,60,4,0.125
"1828",1,NA,58,1,0.4375
"1829",1,5,35,1,0
"1830",1,5,32,1,0.0625
"1831",0,6,34,3,0
"1832",0,3,65,1,0.25
"1833",1,2,41,0,0.5
"1834",1,3,NA,NA,0.625
"1835",0,3,57,2,0.1875
"1836",1,1,37,1,0.625
"1837",1,6,60,2,0.5
"1838",0,3,65,2,0.5
"1839",1,NA,40,1,0.375
"1840",1,1,58,4,NA
"1841",0,3,55,1,0
"1842",1,6,53,5,0.125
"1843",0,2,30,NA,0.5
"1844",1,5,54,1,0.5625
"1845",1,2,47,1,0.25
"1846",1,4,57,1,0
"1847",0,2,24,NA,NA
"1848",1,5,NA,1,0.625
"1849",0,3,50,NA,0.25
"1850",0,3,53,NA,0.5
"1851",1,5,32,1,0.1875
"1852",1,5,53,NA,0.3125
"1853",1,4,37,0,0.1875
"1854",0,5,38,1,0
"1855",1,2,23,NA,0
"1856",1,4,32,1,0.25
"1857",1,1,74,NA,0.25
"1858",0,3,53,1,0.9375
"1859",1,3,43,2,0.25
"1860",1,6,28,5,0.0625
"1861",0,5,43,0,0.375
"1862",0,1,46,1,0.875
"1863",1,4,21,0,0.4375
"1864",1,6,59,2,0.25
"1865",0,3,47,4,0.5
"1866",0,3,37,1,0.6875
"1867",1,4,21,0,0.4375
"1868",0,3,45,1,0.5
"1869",1,3,32,0,0.1875
"1870",0,3,32,1,0.4375
"1871",0,3,68,2,0.125
"1872",0,5,43,2,0.1875
"1873",0,6,31,1,0.0625
"1874",0,5,30,NA,0.5
"1875",1,6,45,NA,0.375
"1876",0,4,44,2,0.3125
"1877",0,3,32,1,0.625
"1878",1,2,25,0,0.6875
"1879",0,2,54,3,0.125
"1880",1,6,30,1,0.0625
"1881",0,4,64,0,0.5
"1882",0,4,58,1,0.375
"1883",1,3,51,1,0.25
"1884",1,3,22,1,0.1875
"1885",0,5,64,3,0.3125
"1886",1,3,59,0,0.3125
"1887",0,2,41,1,0.5625
"1888",1,4,24,1,0.4375
"1889",1,6,54,1,0.25
"1890",0,2,39,3,0.4375
"1891",0,2,41,0,0.9375
"1892",1,5,36,NA,0.5
"1893",1,3,60,1,0.25
"1894",1,5,59,1,0.1875
"1895",0,1,58,0,0.5
"1896",1,2,56,1,0.125
"1897",1,5,46,0,0.6875
"1898",1,3,33,1,0.3125
"1899",0,2,68,1,0.5625
"1900",1,6,41,1,0
"1901",1,5,39,1,0.4375
"1902",0,6,39,1,0.3125
"1903",1,4,36,1,0.5625
"1904",1,5,63,NA,0.75
"1905",1,6,67,4,0.5
"1906",1,5,32,NA,0.5625
"1907",0,2,21,1,0
"1908",1,5,59,2,0
"1909",0,6,44,NA,0.5
"1910",1,2,52,1,0.5
"1911",1,6,35,5,0.125
"1912",0,1,24,2,0.375
"1913",1,5,NA,1,0.1875
"1914",1,4,39,0,0
"1915",0,2,42,NA,0.6875
"1916",0,5,52,2,0.5
"1917",1,5,61,3,0.4375
"1918",1,6,74,1,0.1875
"1919",1,4,22,1,0
"1920",1,3,53,1,0.6875
"1921",0,3,20,0,0.4375
"1922",1,6,47,1,0.3125
"1923",1,6,34,1,0.125
"1924",1,5,37,1,0.3125
"1925",1,6,49,2,0.0625
"1926",1,2,61,1,0.5
"1927",0,3,43,4,0
"1928",1,4,59,1,0.375
"1929",0,5,82,1,0.375
"1930",1,6,38,2,0.0625
"1931",1,6,NA,1,0.5
"1932",1,3,26,NA,0.5625
"1933",0,5,49,NA,0.75
"1934",1,2,25,NA,0.4375
"1935",1,2,52,2,0.875
"1936",0,3,21,0,0.0625
"1937",1,5,37,1,0.3125
"1938",0,1,82,3,0.5
"1939",0,2,27,0,0.5
"1940",1,4,39,1,0.125
