"","female","edu","age","participation","sexism"
"395",1,2,21,0,0.5
"396",0,5,35,NA,0.3125
"397",0,6,56,3,0.25
"398",0,2,63,3,0.375
"399",1,3,85,4,0.125
"400",1,4,33,1,0.125
"401",1,2,80,NA,0.3125
"402",0,4,51,1,0.0625
"403",0,6,47,1,0.0625
"404",1,6,68,3,0
"405",1,1,53,2,0.3125
"406",1,5,32,1,0.0625
"407",0,1,53,1,0.25
"408",0,6,67,5,0.1875
"409",1,4,65,4,0.0625
"410",1,2,53,1,NA
"411",1,3,36,1,0.25
"412",1,2,23,1,0.4375
"413",1,3,54,1,0.5
"414",0,3,47,1,0.5
"415",0,6,80,6,0.5
"416",0,4,23,2,0.3125
"417",0,4,59,1,0.8125
"418",1,1,76,0,0.25
"419",1,6,33,1,0.125
"420",0,3,64,3,0.1875
"421",1,2,38,0,NA
"422",1,1,76,1,0.8125
"423",1,6,42,3,0.375
"424",0,4,23,4,0.375
"425",1,3,22,1,0.25
"426",0,3,21,1,0.0625
"427",0,5,44,3,0.25
"428",1,5,59,3,0.1875
"429",1,3,68,0,0.375
"430",0,2,65,1,0.4375
"431",0,6,58,2,0.125
"432",1,2,50,1,0.25
"433",0,4,37,2,0.1875
"434",1,3,69,2,0.625
"435",0,1,66,1,0.6875
"436",1,6,37,2,0.25
"437",0,1,18,1,0.8125
"438",1,4,67,1,0.75
"439",1,5,28,4,0.125
"440",0,5,45,0,0.375
"441",0,6,49,4,0.0625
"442",1,1,82,0,0.4375
"443",1,4,47,0,0.75
"444",1,4,71,1,0.3125
"445",1,4,59,2,0.5625
"446",NA,1,71,0,NA
"447",1,5,NA,1,0
"448",NA,2,61,1,NA
"449",1,3,58,1,0.6875
"450",0,1,36,0,0.4375
"451",1,3,72,0,0.75
"452",1,4,54,0,0.75
"453",1,3,NA,1,0.375
"454",0,2,20,5,0.3125
"455",0,5,24,2,0.5
"456",1,5,80,1,0.25
"457",0,6,46,3,0.375
"458",1,6,53,1,0.125
"459",1,3,37,0,0.5
"460",1,2,79,1,0.5625
"461",0,3,76,1,0.5625
"462",0,2,70,1,0.4375
"463",1,5,25,2,0.125
"464",1,3,37,1,0.25
"465",0,2,50,1,0.875
"466",0,2,37,1,0.5
"467",1,2,41,2,0.1875
"468",1,3,20,1,0
"469",0,5,23,2,0
"470",1,2,41,2,0.375
"471",1,6,74,8,0
"472",1,4,NA,1,0.375
"473",1,6,68,3,0.625
"474",1,1,78,0,0.375
"475",0,5,45,1,0.1875
"476",1,6,46,0,0.5
"477",1,4,44,1,0
"478",0,5,25,4,0.0625
"479",1,4,34,2,0.6875
"480",1,1,59,NA,0.75
"481",0,6,28,1,0
"482",1,3,NA,2,0.125
"483",1,3,36,1,0.8125
"484",0,4,52,NA,0.5625
"485",1,4,33,2,0.3125
"486",0,2,62,1,0.5
"487",0,5,73,2,0.375
"488",1,3,18,1,0.1875
"489",1,6,53,1,0.3125
"490",0,1,79,0,0.8125
"491",1,5,68,2,0.125
"492",1,2,80,NA,0.8125
"493",1,2,40,0,0.625
"494",NA,1,60,6,NA
"495",1,2,89,1,0.5625
"496",1,3,69,1,0.0625
"497",0,5,28,NA,0.1875
"498",1,6,36,3,0
"499",0,4,18,1,0.375
"500",0,2,40,1,0.75
"501",1,5,26,1,0.25
"502",1,3,55,0,0.375
"503",0,2,20,0,1
"504",0,5,49,1,0.25
"505",0,1,20,1,0.5
"506",0,5,29,1,0.625
"507",1,4,55,NA,0.75
"508",0,1,38,1,0.5
"509",0,3,24,1,0.25
"510",1,5,68,1,0.3125
"511",0,5,45,1,0.0625
"512",1,2,72,1,0.8125
"513",1,4,71,1,0.5
"514",1,6,56,1,0.1875
"515",1,4,21,1,0
"516",1,2,57,1,0
"517",0,2,85,2,0.375
"518",1,5,38,2,0.5625
"519",1,6,41,1,0.1875
"520",0,1,50,1,0.8125
"521",1,4,44,4,0.0625
"522",1,5,27,1,0.5
"523",1,4,50,NA,0.1875
"524",1,4,25,1,0.875
"525",NA,4,38,1,NA
"526",0,6,81,6,0.375
"527",0,1,64,3,0.375
"528",1,2,29,NA,0.5
"529",1,4,59,2,0.5
"530",1,4,52,NA,0.125
"531",0,2,48,0,0.5625
"532",0,6,37,1,0
"533",1,6,52,2,0.25
"534",1,6,66,1,0.25
"535",1,3,20,1,0.25
"536",1,3,26,0,0.375
"537",0,2,41,1,0.6875
"538",0,5,25,3,0.125
"539",1,3,64,4,0.3125
"540",1,5,36,1,0.625
"541",0,3,34,NA,0.8125
"542",1,6,63,1,0
"543",0,3,58,2,0.625
"544",1,2,52,2,0.25
"545",1,3,65,2,0.3125
"546",1,3,22,1,0.625
"547",1,6,55,3,0.25
"548",1,4,46,1,0
"549",0,1,79,0,0.6875
"550",1,3,33,1,0.875
